epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,674.369,1.31093,1.83224,1.56152,0.00733,0.8111,0.57784,0.57895,0.56446,0.34338,0.59309,0.56384,0.56518,0.28649,1.35644,1.76794,1.73912,0.00723,0,0.0015248,0.0015248,0.0015248
74,683.455,1.27627,1.71379,1.53793,0.00772,0.7571,0.6193,0.57368,0.58062,0.35736,0.61115,0.57078,0.58235,0.29068,1.34872,1.78378,1.70578,0.00689,0,0.0015182,0.0015182,0.0015182
75,692.274,1.27689,1.87505,1.55688,0.00854,0.88107,0.59874,0.58289,0.59858,0.36427,0.60057,0.58684,0.60423,0.32145,1.3331,1.75648,1.72772,0.00669,0,0.0015116,0.0015116,0.0015116
76,701.368,1.27203,1.74257,1.38676,0.00598,0.70512,0.64775,0.56618,0.60657,0.37298,0.6417,0.57237,0.60811,0.33193,1.33037,1.77332,1.71399,0.00667,0,0.001505,0.001505,0.001505
77,710.438,1.24542,1.75135,1.36154,0.00747,0.79292,0.62765,0.6,0.61254,0.37955,0.62416,0.57905,0.59195,0.304,1.3407,1.81257,1.62578,0.00671,0,0.0014984,0.0014984,0.0014984
78,719.565,1.30072,1.70876,1.57477,0.00783,0.73412,0.60255,0.60395,0.59477,0.36517,0.59204,0.59342,0.57999,0.28537,1.35723,1.80199,1.67854,0.00682,0,0.0014918,0.0014918,0.0014918
79,729.258,1.26501,1.63141,1.18506,0.00517,0.78222,0.60341,0.5946,0.58542,0.36597,0.60102,0.6,0.58044,0.29537,1.32568,1.76526,1.77637,0.00659,0,0.0014852,0.0014852,0.0014852
80,738.589,1.27824,1.74261,1.39443,0.0059,0.84046,0.59757,0.60395,0.58804,0.36867,0.59757,0.60395,0.58527,0.31413,1.31903,1.74698,1.74755,0.00658,0,0.0014786,0.0014786,0.0014786
81,747.757,1.27904,1.75528,1.40107,0.00756,0.82664,0.63903,0.57632,0.59214,0.36665,0.63317,0.59737,0.59547,0.32441,1.35278,1.73288,1.70166,0.00691,0,0.001472,0.001472,0.001472
82,757.064,1.30948,1.78668,1.46086,0.00723,0.76732,0.65962,0.56579,0.5957,0.37348,0.66219,0.56316,0.59326,0.31974,1.34198,1.75145,1.67956,0.00699,0,0.0014654,0.0014654,0.0014654
83,766.19,1.2828,1.69957,1.25725,0.00582,0.72746,0.63173,0.53158,0.56341,0.34825,0.63729,0.53404,0.57435,0.30766,1.34149,1.78715,1.8824,0.00686,0,0.0014588,0.0014588,0.0014588
84,774.996,1.2529,1.74905,1.43732,0.00835,0.84291,0.66064,0.50921,0.55755,0.34652,0.66756,0.51711,0.57574,0.30608,1.37839,1.78322,1.86739,0.00698,0,0.0014522,0.0014522,0.0014522
85,783.938,1.3064,1.75117,1.52576,0.00804,0.79619,0.6398,0.61053,0.61576,0.38591,0.67877,0.57368,0.61571,0.32896,1.36547,1.73817,1.63647,0.00668,0,0.0014456,0.0014456,0.0014456
86,793.024,1.29009,1.67957,1.37914,0.00697,0.76967,0.65437,0.58292,0.60224,0.38473,0.66649,0.58947,0.61742,0.32831,1.33797,1.72757,1.53087,0.00652,0,0.001439,0.001439,0.001439
87,802.28,1.24074,1.69229,1.26546,0.00569,0.75922,0.62021,0.58876,0.60509,0.37546,0.65053,0.58026,0.61815,0.33055,1.36114,1.75996,1.59368,0.00702,0,0.0014324,0.0014324,0.0014324
88,811.6,1.26398,1.69298,1.29838,0.00704,0.73246,0.61511,0.5972,0.61087,0.37102,0.62376,0.59989,0.61825,0.32852,1.36488,1.76462,1.65072,0.00696,0,0.0014258,0.0014258,0.0014258
89,820.755,1.23279,1.62988,1.29871,0.00623,0.74054,0.61511,0.5972,0.61087,0.37102,0.62376,0.59989,0.61825,0.32852,1.36488,1.76462,1.65072,0.00696,0,0.0014192,0.0014192,0.0014192
90,829.931,1.21221,1.67618,1.20825,0.00583,0.73048,0.64518,0.625,0.63816,0.39241,0.63319,0.63144,0.63084,0.33233,1.35186,1.74638,1.54929,0.00683,0,0.0014126,0.0014126,0.0014126
91,839.188,1.22868,1.63818,1.31661,0.00669,0.7858,0.63729,0.63578,0.64521,0.40849,0.63861,0.63709,0.64644,0.33847,1.33328,1.71868,1.4859,0.00668,0,0.001406,0.001406,0.001406
92,848.627,1.27156,1.64734,1.35507,0.00758,0.73175,0.64076,0.63421,0.64626,0.40247,0.63105,0.64868,0.65512,0.34815,1.36408,1.74493,1.58237,0.00677,0,0.0013994,0.0013994,0.0013994
93,857.422,1.27256,1.74964,1.34621,0.00727,0.73547,0.62203,0.61053,0.63355,0.39656,0.62786,0.62368,0.64707,0.342,1.36897,1.7631,1.69588,0.00675,0,0.0013928,0.0013928,0.0013928
94,866.585,1.22776,1.64314,1.25426,0.00575,0.77263,0.63644,0.58947,0.63672,0.40886,0.64379,0.59474,0.64468,0.33961,1.35446,1.74606,1.6929,0.00698,0,0.0013862,0.0013862,0.0013862
95,875.646,1.24363,1.60953,1.18046,0.00624,0.71503,0.64313,0.62837,0.64557,0.41234,0.64178,0.62705,0.64036,0.33814,1.35085,1.74332,1.58601,0.00689,0,0.0013796,0.0013796,0.0013796
96,884.706,1.27895,1.69436,1.29472,0.00688,0.72993,0.62682,0.63553,0.63556,0.40008,0.66579,0.61053,0.6418,0.33923,1.35829,1.73646,1.58593,0.00694,0,0.001373,0.001373,0.001373
97,893.856,1.24178,1.60916,1.30138,0.00682,0.73518,0.62296,0.60132,0.6025,0.36882,0.62978,0.60789,0.61685,0.33098,1.3646,1.76268,1.71065,0.00701,0,0.0013664,0.0013664,0.0013664
98,902.896,1.29891,1.67757,1.20174,0.00658,0.73269,0.62864,0.59868,0.60939,0.37767,0.63999,0.59179,0.61377,0.32879,1.34596,1.74872,1.72226,0.00683,0,0.0013598,0.0013598,0.0013598
99,912.125,1.18757,1.60973,1.28151,0.00653,0.73689,0.64645,0.625,0.64111,0.40982,0.64256,0.62368,0.63497,0.33224,1.31977,1.74182,1.60646,0.00673,0,0.0013532,0.0013532,0.0013532
100,921.26,1.24141,1.62216,1.17023,0.00628,0.74475,0.67516,0.60985,0.64873,0.41671,0.68312,0.61836,0.65144,0.34501,1.34984,1.74591,1.57084,0.00695,0,0.0013466,0.0013466,0.0013466
101,930.258,1.29997,1.67039,1.27543,0.00725,0.7366,0.63734,0.62763,0.64279,0.40044,0.66049,0.61692,0.64543,0.34833,1.38047,1.72601,1.58474,0.00736,0,0.00134,0.00134,0.00134
102,939.184,1.20119,1.64479,1.22086,0.00705,0.7402,0.60941,0.63231,0.6334,0.39749,0.63204,0.61579,0.63837,0.34409,1.35399,1.71855,1.63031,0.0072,0,0.0013334,0.0013334,0.0013334
103,948.35,1.20826,1.63647,1.0565,0.00504,0.76117,0.65156,0.60528,0.62727,0.4022,0.65554,0.60526,0.63358,0.33343,1.34622,1.71508,1.61388,0.00719,0,0.0013268,0.0013268,0.0013268
